timestamp,pool_id,pair,pps,tvl,price
2026-03-10T18:53:14.340012,1.19.0,BTS/TWENTIX,0.6353661989176803,4465.26316,0.00030892889948903396
2026-03-10T18:53:14.532037,1.19.48,BTS/XBTSX.USDT,0.3184000728323339,24462.727966,0.0010523350414582031
2026-03-10T18:53:14.713257,1.19.277,BTS/BTWTY.EOS,0.09793880449046537,444.9464,0.009600024207575475
2026-03-10T18:53:18.733301,1.19.0,BTS/TWENTIX,0.6353661989176803,4465.26316,0.00030892889948903396
2026-03-10T18:53:18.902105,1.19.48,BTS/XBTSX.USDT,0.3184000728323339,24462.727966,0.0010523350414582031
2026-03-10T18:53:19.071141,1.19.277,BTS/BTWTY.EOS,0.09793880449046537,444.9464,0.009600024207575475
2026-03-10T18:54:41.970683,1.19.0,BTS/TWENTIX,0.6353661989176803,4465.26316,0.00030892889948903396
2026-03-10T18:54:42.140220,1.19.48,BTS/XBTSX.USDT,0.3184000728323339,24462.727966,0.0010523350414582031
2026-03-10T18:54:42.309988,1.19.277,BTS/BTWTY.EOS,0.09793880449046537,444.9464,0.009600024207575475
2026-03-10T19:34:21.174986,1.19.0,BTS/TWENTIX,0.6353663753896862,4466.50338,0.0003091003606736102
2026-03-10T19:34:21.354074,1.19.48,BTS/XBTSX.USDT,0.3184000728323339,24462.727966,0.0010523350414582031
2026-03-10T19:34:21.532152,1.19.277,BTS/BTWTY.EOS,0.09793880449046537,444.9464,0.009600024207575475
